country,year,early_leavers
SK,2013,6.4
SK,2014,6.7
SK,2015,6.9
SK,2016,7.4
SK,2017,9.3
SK,2018,8.6
SK,2019,8.3
SK,2020,7.6
SK,2021,7.8
SK,2022,7.4
SK,2023,6.4
SK,2024,7.5
FI,2000,9.0
FI,2001,9.5
FI,2002,9.7
FI,2003,10.1
FI,2004,10.0
FI,2005,10.3
FI,2006,9.7
FI,2007,9.1
FI,2008,9.8
FI,2009,9.9
FI,2010,10.3
FI,2011,9.8
FI,2012,8.9
FI,2013,9.3
FI,2014,9.5
FI,2015,9.2
FI,2016,7.9
FI,2017,8.2
FI,2018,8.3
FI,2019,7.3
FI,2020,8.2
FI,2021,8.2
FI,2022,8.4
FI,2023,9.6
FI,2024,9.6
